epoch,time,train/box_loss,train/cls_loss,train/l1_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,accuracy_mAP50-95,is_final_epoch
66,12907.3,0.75488,0.33417,0.02297,0.07396,0.90604,0.85603,0.88739,0.59116,1.14163,1.03582,0.022,0.12298,0.0003565,0.0003565,0.0003565,0.59116,0
67,13093.6,0.74442,0.32824,0.02287,0.07341,0.90012,0.85845,0.90121,0.60456,1.17042,1.13346,0.02182,0.11024,0.0003466,0.0003466,0.0003466,0.60456,0
68,13285.3,0.73392,0.3198,0.02377,0.07027,0.90532,0.86915,0.89247,0.60035,1.19016,1.16942,0.0224,0.11649,0.0003367,0.0003367,0.0003367,0.60035,0
69,13474.4,0.74586,0.32907,0.024,0.07215,0.91466,0.85877,0.89073,0.59127,1.16359,0.90702,0.02214,0.11202,0.0003268,0.0003268,0.0003268,0.59127,0
70,13667.1,0.72952,0.32428,0.02431,0.07072,0.89317,0.87962,0.91195,0.61592,1.28518,1.21288,0.0232,0.11036,0.0003169,0.0003169,0.0003169,0.61592,0
71,13856.3,0.73079,0.32138,0.02457,0.06878,0.89969,0.86659,0.89405,0.60175,1.28061,1.2443,0.02257,0.11658,0.000307,0.000307,0.000307,0.60175,0
72,14047.3,0.73133,0.32196,0.02449,0.06948,0.90741,0.85877,0.89536,0.60208,1.27335,1.19028,0.02284,0.11425,0.0002971,0.0002971,0.0002971,0.60208,0
73,14237.9,0.73543,0.32246,0.02542,0.07095,0.89807,0.87405,0.89545,0.5981,1.28655,1.21014,0.02408,0.11139,0.0002872,0.0002872,0.0002872,0.5981,0
74,14434.7,0.73632,0.31903,0.02584,0.06989,0.89021,0.89673,0.89425,0.59263,1.24312,1.07078,0.0239,0.12611,0.0002773,0.0002773,0.0002773,0.59263,0
75,14627.8,0.7359,0.32832,0.02484,0.06931,0.90413,0.86855,0.90188,0.60831,1.11317,0.8634,0.02287,0.11475,0.0002674,0.0002674,0.0002674,0.60831,0
76,14826.3,0.73504,0.33253,0.02497,0.06901,0.89124,0.89571,0.89662,0.60647,1.12222,0.8598,0.02256,0.12119,0.0002575,0.0002575,0.0002575,0.60647,0
77,15031,0.71675,0.31479,0.02518,0.06702,0.91239,0.88218,0.89908,0.59766,1.2255,1.00405,0.02389,0.12863,0.0002476,0.0002476,0.0002476,0.59766,0
78,15249.4,0.72536,0.31612,0.02499,0.0685,0.91481,0.87148,0.89891,0.60481,1.12096,0.78778,0.02249,0.10733,0.0002377,0.0002377,0.0002377,0.60481,0
79,15671.6,0.72245,0.31651,0.02486,0.06843,0.89414,0.89707,0.89891,0.60548,1.25143,1.12315,0.02339,0.12211,0.0002278,0.0002278,0.0002278,0.60548,0
80,16051.4,0.72635,0.33086,0.02507,0.06522,0.88419,0.90275,0.88741,0.58215,1.2811,1.09046,0.02359,0.11306,0.0002179,0.0002179,0.0002179,0.58215,0
81,16240.2,0.72277,0.32165,0.02592,0.06544,0.90568,0.87734,0.8851,0.58255,1.19948,0.91627,0.02394,0.12248,0.000208,0.000208,0.000208,0.58255,0
82,16432.8,0.72066,0.32386,0.02697,0.06738,0.91605,0.86745,0.88864,0.58754,1.20498,0.91209,0.02386,0.11838,0.0001981,0.0001981,0.0001981,0.58754,0
83,16624.5,0.71373,0.31478,0.02518,0.06671,0.91195,0.86889,0.89006,0.59284,1.12254,0.79895,0.02268,0.11393,0.0001882,0.0001882,0.0001882,0.59284,0
84,16810.2,0.71723,0.31465,0.02507,0.06731,0.90126,0.88322,0.89325,0.59142,1.30674,1.10012,0.02398,0.11617,0.0001783,0.0001783,0.0001783,0.59142,0
85,16998.5,0.71633,0.3116,0.02546,0.0669,0.89733,0.87702,0.88142,0.58138,1.30208,1.13332,0.02408,0.11768,0.0001684,0.0001684,0.0001684,0.58138,0
86,17192,0.70951,0.31267,0.02561,0.0654,0.9087,0.85765,0.88852,0.5879,1.30241,1.15664,0.02393,0.12299,0.0001585,0.0001585,0.0001585,0.5879,0
87,17383.4,0.71077,0.3158,0.02576,0.06512,0.91808,0.86716,0.8983,0.58869,1.32318,1.11903,0.02451,0.12786,0.0001486,0.0001486,0.0001486,0.58869,0
88,17576.5,0.69979,0.30602,0.02641,0.06268,0.91592,0.87122,0.90445,0.60076,1.30082,1.11565,0.02464,0.11684,0.0001387,0.0001387,0.0001387,0.60076,0
89,17770.3,0.70816,0.31451,0.02601,0.06383,0.90445,0.88451,0.91133,0.61008,1.2956,1.13581,0.02425,0.11707,0.0001288,0.0001288,0.0001288,0.61008,0
90,17961.6,0.70337,0.31026,0.02599,0.06229,0.90878,0.89102,0.90756,0.60759,1.28463,1.11965,0.02388,0.11537,0.0001189,0.0001189,0.0001189,0.60759,1
