epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,accuracy_mAP50-95,is_final_epoch
80,16515,0.70006,0.29145,0.00488,0.9096,0.87017,0.90598,0.51638,1.69261,1.20464,0.01177,0.0002179,0.0002179,0.0002179,0.51638,0
81,16716.3,0.69882,0.2868,0.0049,0.9034,0.8749,0.89635,0.51214,1.69563,1.34072,0.01189,0.000208,0.000208,0.000208,0.51214,0
82,16916.5,0.6873,0.2839,0.00478,0.90833,0.87477,0.89874,0.51026,1.6736,1.21261,0.01165,0.0001981,0.0001981,0.0001981,0.51026,0
83,17118.5,0.68302,0.27997,0.00479,0.90189,0.88343,0.90864,0.52349,1.66741,1.15642,0.01155,0.0001882,0.0001882,0.0001882,0.52349,0
84,17320.8,0.68213,0.28146,0.00476,0.90911,0.86578,0.90662,0.5173,1.68353,1.17528,0.01173,0.0001783,0.0001783,0.0001783,0.5173,0
85,17522.1,0.68249,0.27939,0.00474,0.90229,0.86045,0.90289,0.50975,1.69775,1.18325,0.01185,0.0001684,0.0001684,0.0001684,0.50975,0
86,17721.2,0.68244,0.28267,0.00474,0.89887,0.85711,0.9009,0.5087,1.7072,1.1701,0.01201,0.0001585,0.0001585,0.0001585,0.5087,0
87,17918.7,0.67636,0.28309,0.00471,0.89674,0.86317,0.9076,0.5141,1.70736,1.18895,0.01193,0.0001486,0.0001486,0.0001486,0.5141,0
88,18116.3,0.66465,0.27438,0.00463,0.90138,0.87229,0.90409,0.50949,1.69983,1.18867,0.01187,0.0001387,0.0001387,0.0001387,0.50949,0
89,18314.5,0.67633,0.28384,0.00473,0.91082,0.87115,0.90373,0.51017,1.67611,1.2012,0.01162,0.0001288,0.0001288,0.0001288,0.51017,0
90,18513.4,0.66771,0.27336,0.00465,0.91353,0.86906,0.90253,0.50914,1.69578,1.21456,0.01181,0.0001189,0.0001189,0.0001189,0.50914,0
91,18707.6,0.57228,0.19459,0.00417,0.90094,0.87265,0.90157,0.50807,1.6704,1.24983,0.01158,0.000109,0.000109,0.000109,0.50807,0
92,18903.9,0.56592,0.19047,0.00416,0.89329,0.87546,0.90435,0.51033,1.67797,1.27705,0.01163,9.91e-05,9.91e-05,9.91e-05,0.51033,0
93,19105.3,0.56622,0.19143,0.00415,0.9066,0.86952,0.9052,0.51294,1.68388,1.24124,0.01171,8.92e-05,8.92e-05,8.92e-05,0.51294,0
94,19298.3,0.56347,0.19049,0.00411,0.89236,0.8762,0.9069,0.51498,1.68375,1.25419,0.01169,7.93e-05,7.93e-05,7.93e-05,0.51498,0
95,19491.9,0.5569,0.18683,0.00406,0.9002,0.87376,0.90506,0.51393,1.68658,1.21753,0.01173,6.94e-05,6.94e-05,6.94e-05,0.51393,0
96,19689.2,0.55657,0.19146,0.00408,0.89966,0.87775,0.90619,0.51214,1.68786,1.23149,0.01171,5.95e-05,5.95e-05,5.95e-05,0.51214,0
97,19888.3,0.56043,0.19114,0.00407,0.90278,0.87588,0.90585,0.51436,1.68088,1.20239,0.01166,4.96e-05,4.96e-05,4.96e-05,0.51436,0
98,20086,0.55829,0.18818,0.00402,0.91077,0.87197,0.90517,0.51285,1.67883,1.19996,0.01165,3.97e-05,3.97e-05,3.97e-05,0.51285,0
99,20285.9,0.55442,0.1891,0.00406,0.91001,0.8749,0.90605,0.51406,1.67853,1.21816,0.01165,2.98e-05,2.98e-05,2.98e-05,0.51406,0
100,20486.8,0.55297,0.18693,0.00402,0.90664,0.87555,0.90557,0.51478,1.67711,1.21779,0.01164,1.99e-05,1.99e-05,1.99e-05,0.51478,1
