epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,accuracy_mAP50-95,is_final_epoch
92,882.763,1.09104,0.65948,0.00613,0.95184,0.42857,0.53878,0.36481,0.2848,0.62456,0.00138,0.00054955,0.00054955,0.00054955,0.36481,0
93,892.067,1.14538,0.59234,0.00644,0.897,0.42857,0.47891,0.30232,0.31267,0.65897,0.00155,0.0005446,0.0005446,0.0005446,0.30232,0
94,901.376,1.25889,0.66455,0.00708,0.71946,0.42857,0.36269,0.20557,0.33445,0.75859,0.00167,0.00053965,0.00053965,0.00053965,0.20557,0
95,910.754,1.27363,0.62147,0.00723,0.69187,0.42857,0.39037,0.24383,0.3143,0.89592,0.00167,0.0005347,0.0005347,0.0005347,0.24383,0
96,920.072,1.30021,0.84061,0.00688,0.54308,0.28571,0.32323,0.23839,0.30267,0.73122,0.00168,0.00052975,0.00052975,0.00052975,0.23839,0
97,929.226,1.39025,0.65034,0.00748,0.93059,0.28571,0.45038,0.32196,0.2894,0.47741,0.00163,0.0005248,0.0005248,0.0005248,0.32196,0
98,938.378,1.11675,0.49666,0.0057,1,0.54135,0.715,0.49056,0.27849,0.4598,0.00149,0.00051985,0.00051985,0.00051985,0.49056,0
99,947.698,1.07249,0.71105,0.00575,1,0.63203,0.715,0.46467,0.30196,0.43111,0.00163,0.0005149,0.0005149,0.0005149,0.46467,0
100,957.1,1.08094,0.64351,0.00602,1,0.70211,0.715,0.4763,0.27846,0.37918,0.00146,0.00050995,0.00050995,0.00050995,0.4763,0
101,966.392,1.03889,0.69187,0.00561,1,0.70532,0.715,0.50195,0.26972,0.3615,0.00133,0.000505,0.000505,0.000505,0.50195,0
102,975.601,1.09391,0.47282,0.00546,1,0.55502,0.76167,0.48642,0.24039,0.41255,0.00116,0.00050005,0.00050005,0.00050005,0.48642,0
103,984.855,1.12761,0.67231,0.00634,0.66039,0.42857,0.55095,0.37867,0.26385,0.42602,0.00134,0.0004951,0.0004951,0.0004951,0.37867,0
104,994.032,1.16823,0.52142,0.0064,0.56757,0.42857,0.49201,0.35073,0.28663,0.46825,0.00138,0.00049015,0.00049015,0.00049015,0.35073,0
105,1003.19,1.17415,0.4882,0.00611,1,0.41678,0.53515,0.3319,0.31684,0.47955,0.00153,0.0004852,0.0004852,0.0004852,0.3319,0
106,1012.64,1.12107,0.54265,0.00628,1,0.4108,0.55128,0.34609,0.30553,0.48545,0.00146,0.00048025,0.00048025,0.00048025,0.34609,0
107,1022.16,1.28797,0.60697,0.00728,0.79023,0.54352,0.62544,0.41358,0.27435,0.43859,0.00138,0.0004753,0.0004753,0.0004753,0.41358,0
108,1031.58,1.25561,0.62486,0.00709,0.79298,0.55138,0.62189,0.4382,0.25172,0.43688,0.00128,0.00047035,0.00047035,0.00047035,0.4382,0
109,1040.96,1.04448,0.46981,0.00581,0.79422,0.5549,0.60808,0.43736,0.26378,0.45015,0.00126,0.0004654,0.0004654,0.0004654,0.43736,0
110,1050.16,1.1506,0.55416,0.00623,0.76244,0.57143,0.59221,0.42729,0.25266,0.39942,0.00124,0.00046045,0.00046045,0.00046045,0.42729,0
111,1059.46,0.9442,0.45998,0.0052,1,0.56849,0.6146,0.45574,0.25653,0.37695,0.00136,0.0004555,0.0004555,0.0004555,0.45574,0
112,1068.73,0.98806,0.56568,0.00513,0.99764,0.57143,0.61581,0.43965,0.26126,0.3734,0.00137,0.00045055,0.00045055,0.00045055,0.43965,0
113,1078.31,1.06545,0.49374,0.00573,1,0.56975,0.645,0.42345,0.28352,0.37576,0.00146,0.0004456,0.0004456,0.0004456,0.42345,0
114,1087.64,1.01982,0.53087,0.00574,1,0.56105,0.64231,0.43203,0.29643,0.38846,0.00157,0.00044065,0.00044065,0.00044065,0.43203,0
115,1097.04,0.93144,0.41857,0.00497,0.98702,0.57143,0.638,0.4287,0.30362,0.35388,0.00165,0.0004357,0.0004357,0.0004357,0.4287,0
116,1106.29,1.10424,0.47117,0.00604,0.78514,0.57143,0.60015,0.39171,0.30195,0.36499,0.00159,0.00043075,0.00043075,0.00043075,0.39171,0
117,1115.49,1.08649,0.49917,0.00568,0.97597,0.42857,0.59327,0.37694,0.31039,0.3442,0.00159,0.0004258,0.0004258,0.0004258,0.37694,0
118,1124.61,1.08758,0.40505,0.00556,0.9753,0.42857,0.58209,0.38526,0.30528,0.33507,0.00154,0.00042085,0.00042085,0.00042085,0.38526,0
119,1133.9,0.88898,0.43025,0.00471,0.78403,0.57143,0.64231,0.44276,0.29648,0.31033,0.00154,0.0004159,0.0004159,0.0004159,0.44276,0
120,1143.23,1.124,0.67268,0.00572,0.6422,0.51901,0.62185,0.43998,0.29737,0.35102,0.00154,0.00041095,0.00041095,0.00041095,0.43998,0
121,1152.68,1.07189,0.66288,0.00557,0.97676,0.28571,0.41622,0.29399,0.30988,0.46924,0.00162,0.000406,0.000406,0.000406,0.29399,0
122,1161.9,1.34218,0.78463,0.00678,0.5918,0.41686,0.51848,0.32817,0.2922,0.35799,0.00151,0.00040105,0.00040105,0.00040105,0.32817,0
123,1171.07,1.03233,0.62638,0.00547,0.64996,0.57143,0.61654,0.42146,0.29418,0.32427,0.0015,0.0003961,0.0003961,0.0003961,0.42146,0
124,1180.23,1.04884,0.48349,0.00601,0.72529,0.42857,0.58585,0.38695,0.31136,0.33489,0.00158,0.00039115,0.00039115,0.00039115,0.38695,0
125,1189.8,1.00216,0.55353,0.00552,0.65664,0.54994,0.56032,0.3656,0.31426,0.32961,0.00158,0.0003862,0.0003862,0.0003862,0.3656,0
126,1199.05,1.08902,0.53112,0.00591,0.66528,0.56846,0.58454,0.40798,0.30161,0.32066,0.00153,0.00038125,0.00038125,0.00038125,0.40798,0
127,1208.48,1.13596,0.54065,0.00627,1,0.55505,0.64544,0.45549,0.28502,0.27891,0.00157,0.0003763,0.0003763,0.0003763,0.45549,0
128,1217.76,0.99091,0.41698,0.00542,1,0.56065,0.67306,0.45804,0.27754,0.27196,0.0015,0.00037135,0.00037135,0.00037135,0.45804,0
129,1226.91,0.93547,0.40121,0.00478,0.98498,0.42857,0.61703,0.43773,0.26727,0.29013,0.00145,0.0003664,0.0003664,0.0003664,0.43773,0
130,1236.17,0.94702,0.50887,0.00518,0.99863,0.42857,0.57516,0.42282,0.26334,0.28639,0.00145,0.00036145,0.00036145,0.00036145,0.42282,0
131,1245.37,0.99573,0.46742,0.00525,0.7582,0.57143,0.61081,0.4493,0.26502,0.28494,0.00143,0.0003565,0.0003565,0.0003565,0.4493,0
132,1254.71,0.91173,0.45172,0.00498,0.75263,0.57143,0.645,0.46006,0.27512,0.29324,0.00148,0.00035155,0.00035155,0.00035155,0.46006,0
133,1264.11,0.97538,0.41017,0.00496,0.72781,0.57143,0.62136,0.44671,0.28897,0.29366,0.00151,0.0003466,0.0003466,0.0003466,0.44671,0
134,1273.62,0.91851,0.42137,0.00492,0.74496,0.57143,0.63342,0.43354,0.29729,0.2873,0.00151,0.00034165,0.00034165,0.00034165,0.43354,0
135,1283.02,1.10757,0.48835,0.00599,0.79891,0.56832,0.6227,0.40149,0.30644,0.28475,0.00155,0.0003367,0.0003367,0.0003367,0.40149,0
136,1292.32,1.03566,0.41938,0.00563,0.77877,0.57143,0.59403,0.39375,0.29306,0.27994,0.00148,0.00033175,0.00033175,0.00033175,0.39375,0
137,1301.58,1.031,0.40397,0.00545,1,0.54866,0.61161,0.4163,0.29242,0.2786,0.00148,0.0003268,0.0003268,0.0003268,0.4163,0
138,1311.1,0.9641,0.42066,0.00498,1,0.56154,0.60747,0.41157,0.28679,0.28353,0.00149,0.00032185,0.00032185,0.00032185,0.41157,0
139,1320.47,1.09657,0.38903,0.00597,0.99001,0.57143,0.61488,0.42599,0.27304,0.29265,0.00143,0.0003169,0.0003169,0.0003169,0.42599,0
140,1329.85,0.98119,0.43281,0.00518,0.97442,0.57143,0.635,0.47075,0.24453,0.27848,0.00131,0.00031195,0.00031195,0.00031195,0.47075,0
141,1339.29,1.02426,0.435,0.00567,0.97166,0.57143,0.60543,0.44713,0.23866,0.3147,0.00117,0.000307,0.000307,0.000307,0.44713,0
142,1348.5,1.08454,0.40252,0.00599,0.96871,0.57143,0.60192,0.43721,0.24644,0.31636,0.00117,0.00030205,0.00030205,0.00030205,0.43721,0
143,1357.7,1.09279,0.56695,0.0057,0.79743,0.57143,0.61882,0.42145,0.24462,0.33253,0.00114,0.0002971,0.0002971,0.0002971,0.42145,0
144,1366.91,0.93529,0.50899,0.00459,0.76903,0.57143,0.55487,0.40156,0.24013,0.35529,0.00114,0.00029215,0.00029215,0.00029215,0.40156,0
145,1376.35,0.93765,0.37023,0.00475,0.75981,0.57143,0.55501,0.41379,0.23418,0.3578,0.00115,0.0002872,0.0002872,0.0002872,0.41379,0
146,1385.95,1.02937,0.51161,0.00536,0.92138,0.57143,0.62591,0.43529,0.24204,0.33695,0.00117,0.00028225,0.00028225,0.00028225,0.43529,0
147,1395.48,0.81386,0.365,0.00448,0.96153,0.57143,0.6422,0.41193,0.24705,0.31422,0.00118,0.0002773,0.0002773,0.0002773,0.41193,0
148,1404.64,0.80113,0.3994,0.00405,0.96026,0.57143,0.655,0.41082,0.25603,0.30536,0.00121,0.00027235,0.00027235,0.00027235,0.41082,0
149,1413.81,0.93194,0.3885,0.00498,0.96219,0.57143,0.66367,0.43207,0.25689,0.30941,0.00122,0.0002674,0.0002674,0.0002674,0.43207,0
150,1422.93,0.95362,0.45808,0.00522,0.95827,0.57143,0.625,0.45632,0.24037,0.31672,0.00121,0.00026245,0.00026245,0.00026245,0.45632,0
151,1432.26,1.02944,0.47823,0.0053,0.97415,0.57143,0.625,0.45704,0.23431,0.31138,0.00122,0.0002575,0.0002575,0.0002575,0.45704,0
152,1441.59,0.89544,0.38433,0.00446,0.99964,0.57143,0.61875,0.44488,0.22584,0.3013,0.0012,0.00025255,0.00025255,0.00025255,0.44488,0
153,1450.91,0.9267,0.40347,0.00484,1,0.55264,0.61618,0.44293,0.22777,0.30149,0.0012,0.0002476,0.0002476,0.0002476,0.44293,0
154,1460.08,0.90837,0.40709,0.00466,0.99296,0.42857,0.57167,0.41158,0.23351,0.3225,0.00122,0.00024265,0.00024265,0.00024265,0.41158,0
155,1469.32,0.97863,0.39573,0.0051,0.99953,0.42857,0.56071,0.40671,0.25499,0.33777,0.00131,0.0002377,0.0002377,0.0002377,0.40671,0
156,1478.65,0.92767,0.4136,0.00521,1,0.4265,0.55682,0.39873,0.26503,0.34618,0.00136,0.00023275,0.00023275,0.00023275,0.39873,0
157,1487.86,0.88378,0.36234,0.00453,1,0.42643,0.57,0.39447,0.27555,0.33861,0.00141,0.0002278,0.0002278,0.0002278,0.39447,0
158,1497.27,0.96955,0.48938,0.0048,1,0.42537,0.58611,0.39295,0.28859,0.32912,0.00146,0.00022285,0.00022285,0.00022285,0.39295,0
159,1506.8,1.04927,0.45531,0.00543,1,0.42002,0.57,0.39725,0.29188,0.33242,0.0015,0.0002179,0.0002179,0.0002179,0.39725,0
160,1516.19,0.90616,0.29915,0.00484,0.54688,0.42857,0.535,0.36854,0.30004,0.3391,0.00158,0.00021295,0.00021295,0.00021295,0.36854,0
161,1525.37,0.94771,0.40315,0.00468,0.97777,0.28571,0.584,0.34873,0.30912,0.3525,0.00163,0.000208,0.000208,0.000208,0.34873,0
162,1534.64,0.97913,0.35942,0.00543,0.97863,0.28571,0.513,0.31178,0.30045,0.39917,0.00147,0.00020305,0.00020305,0.00020305,0.31178,0
163,1543.82,0.98563,0.44555,0.00516,0.97882,0.28571,0.50288,0.30975,0.302,0.39191,0.00146,0.0001981,0.0001981,0.0001981,0.30975,0
164,1553.25,0.96882,0.32267,0.00488,0.979,0.28571,0.50288,0.32379,0.27966,0.37372,0.0014,0.00019315,0.00019315,0.00019315,0.32379,0
165,1562.7,0.95062,0.37034,0.00516,0.97882,0.28571,0.42833,0.33383,0.26222,0.36526,0.00135,0.0001882,0.0001882,0.0001882,0.33383,0
166,1572.17,0.95161,0.37205,0.0051,0.97831,0.28571,0.45875,0.35171,0.251,0.35509,0.0013,0.00018325,0.00018325,0.00018325,0.35171,0
167,1581.4,0.9048,0.32578,0.00464,0.9779,0.28571,0.47167,0.3605,0.25264,0.34471,0.00129,0.0001783,0.0001783,0.0001783,0.3605,0
