epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,accuracy_mAP50-95,is_final_epoch
81,332.142,0.88219,0.44159,0.0047,0.92968,0.85315,0.9334,0.43793,1.89043,0.93959,0.00958,0.000736,0.000736,0.000736,0.43793,0
82,336.067,0.88731,0.44856,0.00483,0.9045,0.861,0.92949,0.44897,1.83491,0.90433,0.00923,0.0007327,0.0007327,0.0007327,0.44897,0
83,340.114,0.84272,0.42682,0.00448,0.91745,0.85494,0.93474,0.47286,1.76086,0.87338,0.00879,0.0007294,0.0007294,0.0007294,0.47286,0
84,344.06,0.8598,0.42054,0.0046,0.92435,0.85315,0.93297,0.49451,1.6846,0.86144,0.00839,0.0007261,0.0007261,0.0007261,0.49451,0
85,348,0.8546,0.43477,0.00451,0.88197,0.87238,0.92705,0.48218,1.73046,0.88772,0.0086,0.0007228,0.0007228,0.0007228,0.48218,0
86,351.851,0.84772,0.42137,0.00452,0.8919,0.86014,0.92684,0.47519,1.75736,0.89387,0.00876,0.0007195,0.0007195,0.0007195,0.47519,0
87,355.774,0.84326,0.4143,0.00452,0.91111,0.85839,0.92779,0.50306,1.6722,0.83054,0.00829,0.0007162,0.0007162,0.0007162,0.50306,0
88,359.728,0.82431,0.40033,0.00441,0.90193,0.86538,0.92608,0.50502,1.65941,0.83434,0.0082,0.0007129,0.0007129,0.0007129,0.50502,0
89,363.723,0.86558,0.40257,0.00465,0.91411,0.84615,0.92846,0.47742,1.73645,0.85672,0.00869,0.0007096,0.0007096,0.0007096,0.47742,0
90,367.788,0.86423,0.41163,0.00457,0.94794,0.84615,0.93386,0.51805,1.60905,0.82768,0.00793,0.0007063,0.0007063,0.0007063,0.51805,0
91,371.658,0.87525,0.41642,0.00461,0.94953,0.84266,0.93565,0.5033,1.6647,0.85373,0.00826,0.000703,0.000703,0.000703,0.5033,0
92,375.626,0.85481,0.40196,0.00448,0.93107,0.85016,0.93349,0.45439,1.83542,0.89816,0.00926,0.0006997,0.0006997,0.0006997,0.45439,0
93,379.525,0.85773,0.40566,0.00462,0.95077,0.84417,0.93154,0.45426,1.84056,0.8915,0.00928,0.0006964,0.0006964,0.0006964,0.45426,0
94,383.484,0.85769,0.39199,0.00454,0.93155,0.86189,0.93749,0.48948,1.73317,0.82454,0.00865,0.0006931,0.0006931,0.0006931,0.48948,0
95,387.468,0.86422,0.40549,0.00457,0.91358,0.85011,0.92669,0.50735,1.66121,0.83411,0.00822,0.0006898,0.0006898,0.0006898,0.50735,0
96,391.474,0.86935,0.40023,0.0046,0.91272,0.84266,0.92563,0.50264,1.67318,0.84048,0.00828,0.0006865,0.0006865,0.0006865,0.50264,0
97,395.342,0.84207,0.39065,0.00445,0.95193,0.83741,0.93652,0.48895,1.73435,0.84588,0.00864,0.0006832,0.0006832,0.0006832,0.48895,0
98,399.163,0.85847,0.39581,0.00457,0.96274,0.8479,0.93769,0.50276,1.68871,0.82956,0.00836,0.0006799,0.0006799,0.0006799,0.50276,0
99,403.066,0.827,0.38043,0.00437,0.95653,0.84627,0.93869,0.48599,1.75117,0.83286,0.00877,0.0006766,0.0006766,0.0006766,0.48599,0
100,406.992,0.85992,0.38948,0.00452,0.93519,0.86364,0.9414,0.48565,1.75895,0.82083,0.00882,0.0006733,0.0006733,0.0006733,0.48565,0
101,410.931,0.80502,0.38044,0.00429,0.94864,0.87184,0.94442,0.48706,1.76263,0.79584,0.00883,0.00067,0.00067,0.00067,0.48706,0
102,414.883,0.81759,0.36876,0.00436,0.94429,0.87413,0.94749,0.48264,1.78632,0.80307,0.00895,0.0006667,0.0006667,0.0006667,0.48264,0
103,418.853,0.80247,0.36503,0.00426,0.93262,0.87113,0.94646,0.46747,1.82929,0.81912,0.00924,0.0006634,0.0006634,0.0006634,0.46747,0
104,422.708,0.80568,0.37354,0.0043,0.95995,0.87988,0.95026,0.48825,1.76411,0.78781,0.00887,0.0006601,0.0006601,0.0006601,0.48825,0
105,426.584,0.82156,0.35452,0.00438,0.9628,0.87238,0.94777,0.51259,1.6672,0.74679,0.00824,0.0006568,0.0006568,0.0006568,0.51259,0
106,430.443,0.81984,0.3687,0.00438,0.95229,0.87762,0.94891,0.49559,1.73211,0.74135,0.00859,0.0006535,0.0006535,0.0006535,0.49559,0
107,434.341,0.83476,0.36161,0.00436,0.95405,0.87587,0.94963,0.48436,1.76912,0.77798,0.00882,0.0006502,0.0006502,0.0006502,0.48436,0
108,438.277,0.80509,0.3561,0.00424,0.96157,0.87587,0.95095,0.51413,1.65461,0.74573,0.00816,0.0006469,0.0006469,0.0006469,0.51413,0
109,442.098,0.8285,0.36676,0.00433,0.94794,0.87937,0.95304,0.51094,1.66883,0.72786,0.00828,0.0006436,0.0006436,0.0006436,0.51094,0
110,445.895,0.81458,0.3491,0.00433,0.94684,0.87413,0.94824,0.52715,1.62597,0.72211,0.00797,0.0006403,0.0006403,0.0006403,0.52715,0
111,449.811,0.80585,0.34165,0.00426,0.93879,0.87587,0.95061,0.5202,1.64904,0.74164,0.00808,0.000637,0.000637,0.000637,0.5202,0
112,453.68,0.80433,0.3459,0.00434,0.9119,0.90559,0.95105,0.50756,1.68671,0.76406,0.00835,0.0006337,0.0006337,0.0006337,0.50756,0
113,457.588,0.8067,0.34655,0.00429,0.92707,0.88893,0.95403,0.50159,1.69759,0.77002,0.00849,0.0006304,0.0006304,0.0006304,0.50159,0
114,461.45,0.80943,0.33864,0.00425,0.92966,0.88811,0.95043,0.5298,1.57798,0.77278,0.00781,0.0006271,0.0006271,0.0006271,0.5298,0
115,465.296,0.82368,0.33497,0.00433,0.93892,0.87762,0.94555,0.51057,1.64775,0.78301,0.00815,0.0006238,0.0006238,0.0006238,0.51057,0
116,469.326,0.79788,0.33454,0.00426,0.95012,0.86586,0.94607,0.48703,1.71952,0.81606,0.00858,0.0006205,0.0006205,0.0006205,0.48703,0
117,473.259,0.80954,0.34336,0.00434,0.92121,0.90035,0.95246,0.47199,1.76728,0.8359,0.00891,0.0006172,0.0006172,0.0006172,0.47199,0
118,477.143,0.80486,0.33013,0.00426,0.94401,0.88462,0.95277,0.4952,1.71686,0.8077,0.00858,0.0006139,0.0006139,0.0006139,0.4952,0
119,481.06,0.7923,0.33156,0.00413,0.9155,0.91434,0.95407,0.46373,1.82814,0.83615,0.00919,0.0006106,0.0006106,0.0006106,0.46373,0
120,485.07,0.77242,0.32304,0.00416,0.92605,0.89336,0.94829,0.51605,1.63565,0.78847,0.00803,0.0006073,0.0006073,0.0006073,0.51605,0
121,489.196,0.80579,0.32715,0.00422,0.93081,0.89371,0.95102,0.53273,1.58479,0.77077,0.0078,0.000604,0.000604,0.000604,0.53273,0
122,493.117,0.78013,0.31683,0.00425,0.94957,0.87937,0.94741,0.48834,1.73961,0.81026,0.00877,0.0006007,0.0006007,0.0006007,0.48834,0
123,496.964,0.80183,0.31836,0.00425,0.95954,0.87063,0.94513,0.47999,1.77214,0.81712,0.00891,0.0005974,0.0005974,0.0005974,0.47999,0
124,501.015,0.80353,0.32064,0.00422,0.94673,0.86997,0.941,0.49952,1.68933,0.81341,0.00834,0.0005941,0.0005941,0.0005941,0.49952,0
125,504.875,0.77417,0.3142,0.00411,0.94477,0.86728,0.94268,0.48751,1.74764,0.81852,0.00877,0.0005908,0.0005908,0.0005908,0.48751,0
126,508.685,0.79353,0.31177,0.00416,0.93332,0.88089,0.9416,0.50986,1.69318,0.78222,0.00846,0.0005875,0.0005875,0.0005875,0.50986,0
127,512.621,0.79048,0.31573,0.00418,0.96197,0.87413,0.94404,0.52836,1.64012,0.75284,0.00816,0.0005842,0.0005842,0.0005842,0.52836,0
128,516.544,0.79081,0.3206,0.00411,0.96708,0.87587,0.94743,0.50097,1.73833,0.77098,0.00877,0.0005809,0.0005809,0.0005809,0.50097,0
129,520.539,0.79913,0.31202,0.00425,0.92662,0.90909,0.94932,0.46366,1.88058,0.80552,0.00962,0.0005776,0.0005776,0.0005776,0.46366,0
130,524.504,0.78479,0.31139,0.00421,0.94435,0.91259,0.95475,0.49685,1.75861,0.76201,0.00884,0.0005743,0.0005743,0.0005743,0.49685,0
131,528.371,0.76564,0.3115,0.00406,0.94242,0.91561,0.95604,0.49608,1.76088,0.7581,0.00888,0.000571,0.000571,0.000571,0.49608,0
132,532.283,0.78059,0.3056,0.00407,0.93486,0.92308,0.95779,0.48955,1.79384,0.74384,0.00907,0.0005677,0.0005677,0.0005677,0.48955,0
133,536.119,0.76611,0.30648,0.00403,0.92586,0.91693,0.95584,0.52423,1.67172,0.7122,0.00829,0.0005644,0.0005644,0.0005644,0.52423,0
134,539.976,0.80441,0.3124,0.00419,0.94559,0.91146,0.9596,0.51833,1.67953,0.70986,0.00832,0.0005611,0.0005611,0.0005611,0.51833,0
135,543.887,0.78727,0.30738,0.00409,0.95785,0.90385,0.95499,0.48514,1.78979,0.72672,0.00904,0.0005578,0.0005578,0.0005578,0.48514,0
136,547.807,0.77089,0.30438,0.00411,0.95216,0.90466,0.95578,0.50053,1.72473,0.72768,0.00867,0.0005545,0.0005545,0.0005545,0.50053,0
137,551.662,0.7793,0.30718,0.00413,0.95078,0.91188,0.95434,0.49432,1.74844,0.7329,0.00886,0.0005512,0.0005512,0.0005512,0.49432,0
138,555.56,0.78603,0.30066,0.00407,0.94879,0.90695,0.95195,0.48531,1.79046,0.73542,0.00909,0.0005479,0.0005479,0.0005479,0.48531,0
139,559.534,0.77501,0.30544,0.00404,0.92315,0.88811,0.9483,0.5006,1.73789,0.73912,0.00872,0.0005446,0.0005446,0.0005446,0.5006,0
140,563.346,0.77486,0.30031,0.004,0.94199,0.88005,0.94871,0.49198,1.76637,0.75418,0.00889,0.0005413,0.0005413,0.0005413,0.49198,0
141,567.327,0.7698,0.29986,0.00409,0.92795,0.89685,0.94948,0.47957,1.80369,0.77676,0.00913,0.000538,0.000538,0.000538,0.47957,0
142,571.443,0.77358,0.29759,0.00401,0.92218,0.91958,0.95024,0.47181,1.83502,0.77671,0.0093,0.0005347,0.0005347,0.0005347,0.47181,0
143,575.284,0.76423,0.289,0.0041,0.92255,0.92483,0.95107,0.47998,1.80434,0.76274,0.00911,0.0005314,0.0005314,0.0005314,0.47998,0
144,579.156,0.75407,0.28808,0.00401,0.92783,0.92146,0.94749,0.47699,1.81269,0.75134,0.00922,0.0005281,0.0005281,0.0005281,0.47699,0
145,583.091,0.76778,0.29745,0.00395,0.94926,0.92308,0.9493,0.49239,1.74847,0.74933,0.00889,0.0005248,0.0005248,0.0005248,0.49239,0
146,587.018,0.75471,0.28207,0.00401,0.94798,0.91608,0.9515,0.4956,1.73705,0.75443,0.0088,0.0005215,0.0005215,0.0005215,0.4956,0
147,590.933,0.76771,0.29493,0.004,0.93005,0.90657,0.94277,0.47599,1.79662,0.76844,0.00914,0.0005182,0.0005182,0.0005182,0.47599,0
148,594.866,0.75766,0.28003,0.00396,0.91727,0.91958,0.94864,0.49412,1.74021,0.74251,0.00879,0.0005149,0.0005149,0.0005149,0.49412,0
149,598.84,0.76611,0.28399,0.00395,0.95074,0.91608,0.95027,0.51477,1.66909,0.70527,0.00835,0.0005116,0.0005116,0.0005116,0.51477,0
150,602.806,0.74137,0.28149,0.00397,0.95067,0.90973,0.94785,0.48314,1.77676,0.73357,0.00901,0.0005083,0.0005083,0.0005083,0.48314,0
151,606.706,0.76003,0.28175,0.00403,0.95294,0.91783,0.95263,0.49205,1.74496,0.73012,0.00879,0.000505,0.000505,0.000505,0.49205,0
152,610.604,0.74394,0.28138,0.0039,0.95283,0.9181,0.95924,0.51162,1.69391,0.69123,0.00847,0.0005017,0.0005017,0.0005017,0.51162,0
153,614.536,0.75753,0.28008,0.00393,0.95571,0.92133,0.96018,0.50138,1.7416,0.6966,0.00877,0.0004984,0.0004984,0.0004984,0.50138,0
154,618.353,0.74435,0.27881,0.00391,0.9544,0.93007,0.96187,0.48584,1.80962,0.69903,0.00917,0.0004951,0.0004951,0.0004951,0.48584,0
155,622.283,0.76234,0.27976,0.00396,0.95342,0.93041,0.96175,0.51935,1.69379,0.66384,0.00844,0.0004918,0.0004918,0.0004918,0.51935,0
156,626.304,0.74767,0.28028,0.00394,0.96167,0.92103,0.95873,0.51316,1.70691,0.67094,0.00851,0.0004885,0.0004885,0.0004885,0.51316,0
157,630.205,0.76078,0.27304,0.00403,0.96118,0.91084,0.95509,0.48697,1.79746,0.68931,0.00906,0.0004852,0.0004852,0.0004852,0.48697,0
158,634.11,0.75435,0.27762,0.00396,0.96132,0.91783,0.95617,0.50453,1.73429,0.66958,0.00867,0.0004819,0.0004819,0.0004819,0.50453,0
159,638.135,0.76669,0.27509,0.00397,0.94935,0.92657,0.96367,0.52706,1.6597,0.64099,0.00822,0.0004786,0.0004786,0.0004786,0.52706,0
160,642.012,0.73632,0.26918,0.00389,0.94921,0.93357,0.96484,0.49681,1.75059,0.6576,0.0088,0.0004753,0.0004753,0.0004753,0.49681,0
161,645.933,0.74433,0.26431,0.00388,0.94367,0.93721,0.96407,0.50169,1.73159,0.66735,0.0087,0.000472,0.000472,0.000472,0.50169,0
162,649.837,0.74655,0.27048,0.00391,0.95469,0.93007,0.96267,0.55189,1.56779,0.63689,0.00772,0.0004687,0.0004687,0.0004687,0.55189,0
163,653.792,0.74774,0.26619,0.00391,0.95691,0.93179,0.96176,0.54833,1.55636,0.64213,0.00764,0.0004654,0.0004654,0.0004654,0.54833,0
164,657.694,0.76236,0.27423,0.00397,0.94818,0.94056,0.96309,0.51578,1.66022,0.68106,0.00825,0.0004621,0.0004621,0.0004621,0.51578,0
165,661.508,0.72232,0.26082,0.00387,0.95189,0.93182,0.96281,0.50249,1.70022,0.69069,0.00848,0.0004588,0.0004588,0.0004588,0.50249,0
